Date,Time,Type of Transaction,Description,Asset Sent(SYMBOL),Asset Received(SYMBOL),Fee Paid In(SYMBOL),Quantity of Fee Paid,Quantity of Tds Paid
2022-10-18,13:42:27,Buy with INR,limit,trx,INR,trx,3.474,0.0 
2022-10-18,13:16:38,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,14:00:08,Buy with INR,limit,trx,INR,trx,8.704,0.0 
2022-10-18,14:25:37,Buy with INR,limit,trx,INR,trx,0.142,0.0 
2022-10-18,14:28:28,Buy with INR,market,trx,INR,trx,1.6,0.0 
2022-10-18,14:28:49,Buy with INR,market,trx,INR,trx,1.428,0.0 
2022-10-18,14:29:06,Buy with INR,market,trx,INR,trx,0.04,0.0 
2022-10-18,13:41:21,Buy with INR,limit,trx,INR,trx,0.058,0.0 
2022-10-18,13:17:17,Buy with INR,limit,trx,INR,trx,0.238,0.0 
2022-10-18,14:29:34,Buy with INR,limit,trx,INR,trx,6.84,0.0 
2022-10-18,14:23:22,Buy with INR,limit,trx,INR,trx,0.05,0.0 
2022-10-18,15:12:31,Buy with INR,limit,trx,INR,trx,0.15,0.0 
2022-10-18,14:29:53,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,15:20:53,Buy with INR,limit,trx,INR,,,0.0 
2022-10-18,15:27:43,Buy with INR,market,trx,INR,trx,1.358,0.0 
2022-10-18,14:30:23,Buy with INR,limit,trx,INR,,,0.0 
